Total Distance,Date
7673.92662621029,2023-01-01
7777.258407339125,2023-01-02
7921.836790853916,2023-01-03
7162.223788267841,2023-01-04
7241.848234610513,2023-01-05
7399.713496586253,2023-01-06
8126.508320198147,2023-01-07
7811.939325579966,2023-01-08
8205.956401887914,2023-01-09
8062.844388177837,2023-01-10
7723.374980762085,2023-01-11
7848.948560172328,2023-01-12
7422.447135103164,2023-01-13
7319.901067053681,2023-01-14
7602.474825249744,2023-01-15
7751.8742482441985,2023-01-16
8031.354555764878,2023-01-17
7074.672973562598,2023-01-18
7360.652105645828,2023-01-19
7137.2685858169625,2023-01-20
7421.795701441186,2023-01-21
7299.426205200435,2023-01-22
6892.704870015075,2023-01-23
8326.037954241698,2023-01-24
8291.752755876794,2023-01-25
8494.105705763646,2023-01-26
8328.376327096717,2023-01-27
8461.354154641434,2023-01-28
7485.166642278274,2023-01-29
8258.290119201725,2023-01-30
8474.705199164693,2023-01-31
7612.527492370824,2023-02-01
7595.574982574778,2023-02-02
7211.743851682008,2023-02-03
7516.43146477061,2023-02-04
8130.650351110503,2023-02-05
7782.362778731513,2023-02-06
8046.218159009617,2023-02-07
8022.576749395847,2023-02-08
7212.640530581916,2023-02-09
8019.015948214806,2023-02-10
8120.465175602953,2023-02-11
8230.142042306896,2023-02-12
8209.329906986153,2023-02-13
8707.848322067053,2023-02-14
8702.616575630285,2023-02-15
8418.258610206945,2023-02-16
7753.726830083567,2023-02-17
7797.814121090387,2023-02-18
8707.508125964305,2023-02-19
8888.226999696562,2023-02-20
8339.821577036084,2023-02-21
8051.5124146738335,2023-02-22
7815.666306373458,2023-02-23
7724.582716010877,2023-02-24
6976.136197479059,2023-02-25
7656.699550672747,2023-02-26
7290.334615464467,2023-02-27
8518.516505848227,2023-02-28
7739.000494071817,2023-03-01
7830.175824416941,2023-03-02
8060.023586735685,2023-03-03
8269.0563798519,2023-03-04
8190.921791558362,2023-03-05
8035.953423535348,2023-03-06
8397.202226543026,2023-03-07
8333.76134619285,2023-03-08
8254.364683582513,2023-03-09
8146.1695261021105,2023-03-10
8683.18203778686,2023-03-11
8868.681477776494,2023-03-12
8805.736541566057,2023-03-13
8632.19016944745,2023-03-14
8008.613494110101,2023-03-15
8036.189628902749,2023-03-16
7525.146779959557,2023-03-17
7996.5030049649195,2023-03-18
7934.076053647707,2023-03-19
8277.464224891817,2023-03-20
7825.573814357562,2023-03-21
7941.84564685189,2023-03-22
7156.388437019861,2023-03-23
8019.292450852398,2023-03-24
7652.4576314278775,2023-03-25
8153.216281954127,2023-03-26
8480.05564545316,2023-03-27
8322.413593730795,2023-03-28
8654.138305568242,2023-03-29
7867.411462229054,2023-03-30
7304.124123263209,2023-03-31
8004.893706833719,2023-04-01
7611.541195793896,2023-04-02
7383.255021524814,2023-04-03
7903.675870054426,2023-04-04
7654.644511817021,2023-04-05
7924.758886070416,2023-04-06
7888.380042161851,2023-04-07
7980.713844931575,2023-04-08
8385.249461751662,2023-04-09
7900.066721071934,2023-04-10
8359.377613620074,2023-04-11
7908.483400472684,2023-04-12
7708.7568394949485,2023-04-13
7476.775434669713,2023-04-14
7824.182645171006,2023-04-15
7684.913509729947,2023-04-16
7928.596318552495,2023-04-17
8395.26176588462,2023-04-18
7327.5106562623505,2023-04-19
8084.3343144223145,2023-04-20
7345.000096118011,2023-04-21
8046.568781753189,2023-04-22
7698.81171865207,2023-04-23
8350.666537836625,2023-04-24
7681.070706078811,2023-04-25
7283.518999904297,2023-04-26
7937.504471444109,2023-04-27
6989.189124066774,2023-04-28
8052.164587348697,2023-04-29
7749.6124410956845,2023-04-30
8067.223245833678,2023-05-01
7777.414928279136,2023-05-02
7220.709084713465,2023-05-03
7786.488817303128,2023-05-04
8241.885354607868,2023-05-05
7841.149625390113,2023-05-06
7235.795272445803,2023-05-07
7582.33055181317,2023-05-08
8067.875135136197,2023-05-09
7870.827801898068,2023-05-10
7636.8457903225035,2023-05-11
7388.65946715452,2023-05-12
7332.8015330873,2023-05-13
7023.174561957336,2023-05-14
7505.468235969735,2023-05-15
7492.993644179503,2023-05-16
6664.578851537537,2023-05-17
7255.176883190393,2023-05-18
7177.968168042557,2023-05-19
6890.153334352035,2023-05-20
6991.12729999958,2023-05-21
7097.336486438587,2023-05-22
7352.815576666704,2023-05-23
6903.037105584045,2023-05-24
7581.33274190384,2023-05-25
7451.768764850159,2023-05-26
7734.8971907662535,2023-05-27
8328.099957603868,2023-05-28
7964.5605865226,2023-05-29
8207.72381399587,2023-05-30
7659.18396966302,2023-05-31
7007.687142171855,2023-06-01
7315.958834438947,2023-06-02
7521.446264737763,2023-06-03
7269.5123830291495,2023-06-04
7414.716241638792,2023-06-05
7472.666093981243,2023-06-06
6750.496196230502,2023-06-07
7644.333825352156,2023-06-08
7741.191498983592,2023-06-09
7561.7377251044245,2023-06-10
7564.552029356024,2023-06-11
7675.601268062873,2023-06-12
8016.177652092445,2023-06-13
7581.693704014948,2023-06-14
7584.568957023624,2023-06-15
7895.482089706292,2023-06-16
7841.071245259121,2023-06-17
7076.999974508931,2023-06-18
6944.143494987243,2023-06-19
7534.702773706446,2023-06-20
7346.824994297477,2023-06-21
7406.168918860291,2023-06-22
7197.148847682615,2023-06-23
7264.480118056769,2023-06-24
7275.867503932311,2023-06-25
6866.473045376725,2023-06-26
7712.0258129605545,2023-06-27
7396.104606219464,2023-06-28
7353.56371871086,2023-06-29
6910.714900869993,2023-06-30
6913.820308506296,2023-07-01
6722.554409510138,2023-07-02
7279.32736874689,2023-07-03
7408.354297677964,2023-07-04
6873.295882563376,2023-07-05
7484.317090975576,2023-07-06
7361.092732887473,2023-07-07
6921.3426716063295,2023-07-08
7020.726405420526,2023-07-09
7352.198349966506,2023-07-10
7247.92291448486,2023-07-11
6726.6845247301535,2023-07-12
7577.868707723411,2023-07-13
7793.755037801992,2023-07-14
7855.2551344447165,2023-07-15
7763.896329065112,2023-07-16
7643.714906542971,2023-07-17
8426.979469807717,2023-07-18
8249.606048281854,2023-07-19
8041.9199815501115,2023-07-20
7835.46965160665,2023-07-21
7791.424030515231,2023-07-22
7553.41003335824,2023-07-23
7586.5283185656335,2023-07-24
7959.590385392684,2023-07-25
7109.601537548989,2023-07-26
7573.066764374928,2023-07-27
7866.990782157638,2023-07-28
8405.478523283426,2023-07-29
7337.211805593913,2023-07-30
8010.526755111284,2023-07-31
8003.1056625647425,2023-08-01
8094.096524394928,2023-08-02
7540.92492726078,2023-08-03
7620.53356925338,2023-08-04
7060.849411823876,2023-08-05
6960.665768705276,2023-08-06
7729.934564880958,2023-08-07
7948.157199469307,2023-08-08
8015.701303161082,2023-08-09
8416.371505774858,2023-08-10
8682.561100871337,2023-08-11
8341.580352282937,2023-08-12
8296.664808885458,2023-08-13
8867.938164766643,2023-08-14
9201.558663534539,2023-08-15
8662.515094230475,2023-08-16
8463.843060423325,2023-08-17
7759.915151213196,2023-08-18
7557.105165928319,2023-08-19
7421.856200574186,2023-08-20
7654.773239993047,2023-08-21
8328.935473612166,2023-08-22
8213.770513964808,2023-08-23
8411.893210368913,2023-08-24
7595.1227288589025,2023-08-25
7985.675669197286,2023-08-26
7581.2470692474835,2023-08-27
8042.177257598972,2023-08-28
8568.889699984271,2023-08-29
7985.592771550942,2023-08-30
8013.354047560935,2023-08-31
8138.909834209896,2023-09-01
7809.732574541143,2023-09-02
8169.672740364089,2023-09-03
8088.916605952904,2023-09-04
7711.086573553889,2023-09-05
7679.221061819157,2023-09-06
7744.92456386063,2023-09-07
7104.370955248525,2023-09-08
7063.620568543726,2023-09-09
7330.685907610017,2023-09-10
7506.593186135504,2023-09-11
8321.249278867048,2023-09-12
7325.254303827486,2023-09-13
7942.46371392665,2023-09-14
7501.692123709095,2023-09-15
7066.284126148239,2023-09-16
7681.318621967079,2023-09-17
8018.962622333443,2023-09-18
8438.850465446942,2023-09-19
7778.463319963209,2023-09-20
7930.895786396708,2023-09-21
8389.262724337821,2023-09-22
8338.897028387493,2023-09-23
8071.844488189495,2023-09-24
8644.520362527248,2023-09-25
8828.494313657457,2023-09-26
7946.945033036266,2023-09-27
7514.715580761112,2023-09-28
6857.764003190628,2023-09-29
7164.9686004526,2023-09-30
7374.051396759728,2023-10-01
7745.827165836282,2023-10-02
8240.795342663774,2023-10-03
7565.369253901059,2023-10-04
8642.182042638744,2023-10-05
7642.854596913666,2023-10-06
7772.490804945088,2023-10-07
7454.57745694631,2023-10-08
7995.512414769246,2023-10-09
9006.018891702975,2023-10-10
8276.274755775696,2023-10-11
8677.716236428463,2023-10-12
7506.366668401943,2023-10-13
7442.838797215031,2023-10-14
7811.217238172416,2023-10-15
7559.28959247771,2023-10-16
8135.716390430779,2023-10-17
7602.944435805898,2023-10-18
7958.970694186714,2023-10-19
7312.741519764402,2023-10-20
7805.479766112093,2023-10-21
7848.492862917474,2023-10-22
8275.952666640946,2023-10-23
8139.576793162338,2023-10-24
7685.434123671701,2023-10-25
8383.327306962237,2023-10-26
7614.046451076005,2023-10-27
7517.139826107323,2023-10-28
7688.852280516693,2023-10-29
7939.4050537093,2023-10-30
8277.25973492199,2023-10-31
7307.601821400218,2023-11-01
7886.054759318303,2023-11-02
8473.594599734073,2023-11-03
8033.353966727966,2023-11-04
7887.136789768505,2023-11-05
8023.151813752001,2023-11-06
8624.830320464112,2023-11-07
1178.9593241759617,2023-11-08
8127.083475707673,2023-11-09
7579.406234421076,2023-11-10
7788.307009952011,2023-11-11
7683.208285726821,2023-11-12
7762.812048118047,2023-11-13
8210.441004108316,2023-11-14
8099.845097481949,2023-11-15
8070.569609917483,2023-11-16
7895.39809371082,2023-11-17
8331.805404973393,2023-11-18
8328.961825465203,2023-11-19
8485.369418176353,2023-11-20
8868.960314281381,2023-11-21
8683.56364443269,2023-11-22
7950.948518942062,2023-11-23
7276.348105505618,2023-11-24
6913.429518644603,2023-11-25
6958.95367198783,2023-11-26
7941.784626572509,2023-11-27
7997.221234460516,2023-11-28
7502.633405294896,2023-11-29
8264.32319531781,2023-11-30
7744.433210702213,2023-12-01
7822.066467230301,2023-12-02
7624.176798296798,2023-12-03
8469.692499687148,2023-12-04
8266.499608418648,2023-12-05
8871.719484459505,2023-12-06
7972.792583197379,2023-12-07
8126.5575887262785,2023-12-08
7908.883182560464,2023-12-09
7883.697308892273,2023-12-10
8342.45759274981,2023-12-11
8461.249607127922,2023-12-12
8271.922502314546,2023-12-13
9283.83679494237,2023-12-14
9008.575251518765,2023-12-15
8539.678014892128,2023-12-16
7891.94827201712,2023-12-17
9092.020686647944,2023-12-18
9109.028206583174,2023-12-19
8063.976871792817,2023-12-20
7398.0216576181765,2023-12-21
6871.98256073273,2023-12-22
6859.977350805274,2023-12-23
6741.224898089108,2023-12-24
6669.271181244148,2023-12-25
6871.536937944827,2023-12-26
7005.46557171203,2023-12-27
7377.957247100239,2023-12-28
7428.771233435081,2023-12-29
8023.215140531299,2023-12-30
7912.524673186395,2023-12-31
