VehicleId,Functional Loc.,Asset Type,Age,Km's,Asset Mutual Recogni,Output Team,Configuration,Make,Model Number,Additional or Replac,AHS / CAES System Fi,Duty Cycle,,,Duty Cycle,
906,301803CS6661,LIGHT VEHICLE,11.808219178082192,128278.9,30558479-WEST ANGELAS MEM,31343637-MEM SHUT,WAGON,TOYOTA,KDJ150R PRADO GX,03H1172,,LIGHT,,,LIGHT,15
11933,301803CS6669,LIGHT VEHICLE,11.769863013698631,214069.9,31259029-WA FIXED PLANT,00128172-PLANT OPERATIONS,WAGON,TOYOTA,KDJ150R PRADO GX,03H1959,,LIGHT,,,MANAGER,3
11714,301803CS6670,LIGHT VEHICLE,11.808219178082192,141579.20000000001,00128292-GHD & WAN,00128201-TECH SERVICES WA,WAGON,TOYOTA,KDJ150R PRADO GX,03H31,,LIGHT,,,MEDIUM,164
13151,301803CS7864,LIGHT VEHICLE,6.4027397260273968,98440,00128591-WEST ANGELAS & ROBE,30558479-WEST ANGELAS MEM,GX WAGON,TOYOTA,GDJ150R PRADO,03H7055,,MANAGER,,,FAST ATTACK,2
1181,301803CS8233,LIGHT VEHICLE,4.9835616438356167,150227.20000000001,31503066-UTILITIES MAINT EAST,31503066-UTILITIES MAINT EAST,DUAL CAB TRAY,TOYOTA,GUN26R HILUX,03CS7291,,MEDIUM,,,HEAVY,3
13866,301803CS8235,LIGHT VEHICLE,4.6575342465753424,167050.29999999999,31503066-UTILITIES MAINT EAST,31503066-UTILITIES MAINT EAST,SINGLE CAB TRAY,TOYOTA,VDJ79R LANDCRUISER,03P5329,,MEDIUM,,,AMBULANCE,2
13643,301803CS8237,LIGHT VEHICLE,4.7917808219178086,70930.399999999994,31466903-UTILITIES MAINT EAST,32240394-LME WA & GHD,DUAL CAB TRAY,TOYOTA,GUN26R HILUX,03D6582,,MEDIUM,,,0,
1206,301803CS8249,LIGHT VEHICLE,5.0027397260273974,89328.5,31466903-UTILITIES MAINT EAST,30611052-SITE COMMS EAST,DUAL CAB TRAY,TOYOTA,GUN26R HILUX,03H6560,,MEDIUM,,,,
13684,301803CS8252,LIGHT VEHICLE,4.7150684931506852,143177.4,30149643-MINING WEST ANGELAS,31793307-DRILL TEAM 5,DUAL CAB TRAY,TOYOTA,VDJ79R LANDCRUISER,03R2661,AHS,MEDIUM,,,,
1686,301803CS8570,LIGHT VEHICLE,3.3369863013698629,20157.599999999999,31427150-WEST ANGELAS,31427150-WEST ANGELAS,GX WAGON,TOYOTA,GDJ150R PRADO,03R6675,,MEDIUM,,,,
1785,301803CS8635,LIGHT VEHICLE,3.1972602739726028,120021.3,31466903-UTILITIES MAINT EAST,30723014-UTILITIES WAN & GHD,SINGLE CAB TRAY GVM 3950,TOYOTA,VDJ79R LANDCRUISER,03H1008,,MEDIUM,,,,
1786,301803CS8679,LIGHT VEHICLE,3.2219178082191782,80442.399999999994,31466903-UTILITIES MAINT EAST,30723014-UTILITIES YANDI,SINGLE CAB TRAY GVM 3950,TOYOTA,VDJ79R LANDCRUISER,03P5316,,MEDIUM,,,,
1787,301803CS8680,LIGHT VEHICLE,3.1616438356164385,88692.1,31466903-UTILITIES MAINT EAST,30723014-UTILITIES YANDI,SINGLE CAB TRAY GVM 3950,TOYOTA,VDJ79R LANDCRUISER,03P5317,,MEDIUM,,,,
1866,301803CS8705,LIGHT VEHICLE,2.989041095890411,79770.7,31213602-HME DELIVERY PROGRAM,31286708-HME DELIVERY,DUAL CAB TRAY,TOYOTA,GUN26R HILUX,03D80,,MEDIUM,,,,
2450,301803CS8892,LIGHT VEHICLE,2.6520547945205482,43005.5,31643017-UTILITIES MAINT ENG,30379773-ELEC ENGINEERING,GX WAGON,TOYOTA,GDJ150R PRADO,03H7186,,MEDIUM,,,,
1935,301803CS8910,LIGHT VEHICLE,2.8547945205479452,23580.5,30763478-FACILITIES OPERATIONS,31099138-FACILITIES OPS EAST,DUAL CAB TRAY,TOYOTA,GUN26R HILUX,03D6581,,MEDIUM,,,,
2779,301803CS9198,LIGHT VEHICLE,2.1095890410958904,40422.1,31466903-UTILITIES MAINT EAST,30611052-SITE COMMS EAST PILB,SINGLE CAB TRAY GVM 3950,TOYOTA,VDJ79R LANDCRUISER,03CS6139,AHS,MEDIUM,,,,
3060,301803CS9215,LIGHT VEHICLE,1.9397260273972603,39957.800000000003,31503066-UTILITIES MAINT EAST,30723014-UTILITIES WAN & GHD T,DUAL CAB TRAY,TOYOTA,GUN26R HILUX,03CS7287,,MEDIUM,,,,
2785,301803CS9216,LIGHT VEHICLE,2.0520547945205481,53714.2,31466903-UTILITIES MAINT EAST,30611052-SITE COMMS EAST PILB,SINGLE CAB TRAY GVM 3950,TOYOTA,VDJ79R LANDCRUISER,03CS7289,AHS,MEDIUM,,,,
2748,301803CS9253,LIGHT VEHICLE,2.1698630136986301,40843,32000063-WAN OPER READINESS,31883994-OPS READINESS-WANG,DUAL CAB WELL BODY,TOYOTA,GUN26R HILUX,03H5421,,MEDIUM,,,,
