# Renewables.ninja Weather (Point API) - -23.160, 118.770 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Australia/Perth, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Australia/Perth", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-23.16", "lon": "118.77", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 08:00,34.275
2019-01-01 01:00,2019-01-01 09:00,38.165
2019-01-01 02:00,2019-01-01 10:00,40.527
2019-01-01 03:00,2019-01-01 11:00,42.245
2019-01-01 04:00,2019-01-01 12:00,43.413
2019-01-01 05:00,2019-01-01 13:00,43.982
2019-01-01 06:00,2019-01-01 14:00,44.080
2019-01-01 07:00,2019-01-01 15:00,43.651
2019-01-01 08:00,2019-01-01 16:00,42.764
2019-01-01 09:00,2019-01-01 17:00,41.446
2019-01-01 10:00,2019-01-01 18:00,39.092
2019-01-01 11:00,2019-01-01 19:00,36.711
2019-01-01 12:00,2019-01-01 20:00,35.241
2019-01-01 13:00,2019-01-01 21:00,33.705
2019-01-01 14:00,2019-01-01 22:00,31.986
2019-01-01 15:00,2019-01-01 23:00,30.599
2019-01-01 16:00,2019-01-02 00:00,29.673
2019-01-01 17:00,2019-01-02 01:00,29.008
2019-01-01 18:00,2019-01-02 02:00,28.249
2019-01-01 19:00,2019-01-02 03:00,27.561
2019-01-01 20:00,2019-01-02 04:00,26.927
2019-01-01 21:00,2019-01-02 05:00,26.575
2019-01-01 22:00,2019-01-02 06:00,28.751
2019-01-01 23:00,2019-01-02 07:00,32.371
2019-01-02 00:00,2019-01-02 08:00,35.820
2019-01-02 01:00,2019-01-02 09:00,39.166
2019-01-02 02:00,2019-01-02 10:00,41.295
2019-01-02 03:00,2019-01-02 11:00,42.721
2019-01-02 04:00,2019-01-02 12:00,43.717
2019-01-02 05:00,2019-01-02 13:00,44.276
2019-01-02 06:00,2019-01-02 14:00,44.372
2019-01-02 07:00,2019-01-02 15:00,43.964
2019-01-02 08:00,2019-01-02 16:00,42.968
2019-01-02 09:00,2019-01-02 17:00,41.645
2019-01-02 10:00,2019-01-02 18:00,39.266
2019-01-02 11:00,2019-01-02 19:00,36.600
2019-01-02 12:00,2019-01-02 20:00,35.245
2019-01-02 13:00,2019-01-02 21:00,34.238
2019-01-02 14:00,2019-01-02 22:00,33.088
2019-01-02 15:00,2019-01-02 23:00,31.621
2019-01-02 16:00,2019-01-03 00:00,30.236
2019-01-02 17:00,2019-01-03 01:00,29.154
2019-01-02 18:00,2019-01-03 02:00,27.980
2019-01-02 19:00,2019-01-03 03:00,26.984
2019-01-02 20:00,2019-01-03 04:00,26.160
2019-01-02 21:00,2019-01-03 05:00,26.111
2019-01-02 22:00,2019-01-03 06:00,29.116
2019-01-02 23:00,2019-01-03 07:00,33.404
2019-01-03 00:00,2019-01-03 08:00,36.859
2019-01-03 01:00,2019-01-03 09:00,39.525
2019-01-03 02:00,2019-01-03 10:00,41.538
2019-01-03 03:00,2019-01-03 11:00,42.864
2019-01-03 04:00,2019-01-03 12:00,43.498
2019-01-03 05:00,2019-01-03 13:00,43.767
2019-01-03 06:00,2019-01-03 14:00,43.601
2019-01-03 07:00,2019-01-03 15:00,42.919
2019-01-03 08:00,2019-01-03 16:00,41.973
2019-01-03 09:00,2019-01-03 17:00,40.708
2019-01-03 10:00,2019-01-03 18:00,38.717
2019-01-03 11:00,2019-01-03 19:00,36.997
2019-01-03 12:00,2019-01-03 20:00,36.030
2019-01-03 13:00,2019-01-03 21:00,35.005
2019-01-03 14:00,2019-01-03 22:00,33.982
2019-01-03 15:00,2019-01-03 23:00,32.664
2019-01-03 16:00,2019-01-04 00:00,31.274
2019-01-03 17:00,2019-01-04 01:00,30.164
2019-01-03 18:00,2019-01-04 02:00,29.056
2019-01-03 19:00,2019-01-04 03:00,27.831
2019-01-03 20:00,2019-01-04 04:00,26.821
2019-01-03 21:00,2019-01-04 05:00,26.398
2019-01-03 22:00,2019-01-04 06:00,28.754
2019-01-03 23:00,2019-01-04 07:00,32.663
2019-01-04 00:00,2019-01-04 08:00,36.267
2019-01-04 01:00,2019-01-04 09:00,38.985
2019-01-04 02:00,2019-01-04 10:00,40.995
2019-01-04 03:00,2019-01-04 11:00,42.507
2019-01-04 04:00,2019-01-04 12:00,43.519
2019-01-04 05:00,2019-01-04 13:00,44.015
2019-01-04 06:00,2019-01-04 14:00,44.018
2019-01-04 07:00,2019-01-04 15:00,43.518
2019-01-04 08:00,2019-01-04 16:00,42.657
2019-01-04 09:00,2019-01-04 17:00,41.351
2019-01-04 10:00,2019-01-04 18:00,38.741
2019-01-04 11:00,2019-01-04 19:00,36.157
2019-01-04 12:00,2019-01-04 20:00,34.955
2019-01-04 13:00,2019-01-04 21:00,32.957
2019-01-04 14:00,2019-01-04 22:00,31.414
2019-01-04 15:00,2019-01-04 23:00,30.112
2019-01-04 16:00,2019-01-05 00:00,29.038
2019-01-04 17:00,2019-01-05 01:00,28.243
2019-01-04 18:00,2019-01-05 02:00,27.388
2019-01-04 19:00,2019-01-05 03:00,26.560
2019-01-04 20:00,2019-01-05 04:00,25.972
2019-01-04 21:00,2019-01-05 05:00,25.701
2019-01-04 22:00,2019-01-05 06:00,27.415
2019-01-04 23:00,2019-01-05 07:00,30.595
2019-01-05 00:00,2019-01-05 08:00,33.654
2019-01-05 01:00,2019-01-05 09:00,36.295
2019-01-05 02:00,2019-01-05 10:00,38.494
2019-01-05 03:00,2019-01-05 11:00,40.290
2019-01-05 04:00,2019-01-05 12:00,41.595
2019-01-05 05:00,2019-01-05 13:00,42.373
