date,vehicle_number,cluster,distance_to_centroid
2023-01-01,1994,0,0.845762312412262
2023-01-02,1994,0,0.655440628528595
2023-01-03,1994,3,0.49183082580566406
2023-01-04,1994,8,0.7211607098579407
2023-01-05,1994,2,0.6468197703361511
2023-01-06,1994,5,0.625838577747345
2023-01-07,1994,9,0.21020129323005676
2023-01-12,1994,3,0.8456550240516663
2023-01-13,1994,5,0.582634687423706
2023-01-14,1994,0,0.7775453925132751
2023-01-18,1994,6,0.956360399723053
2023-01-23,1994,0,0.8350430727005005
2023-01-24,1994,6,0.8311029076576233
2023-01-25,1994,4,0.6719930171966553
2023-01-26,1994,1,0.9000219702720642
2023-01-27,1994,7,0.6635051369667053
2023-01-29,1994,8,0.5518015623092651
2023-01-30,1994,9,0.25522270798683167
2023-01-31,1994,5,0.7413175702095032
2023-02-01,1994,5,0.7484312057495117
2023-02-02,1994,8,0.5357238054275513
2023-02-03,1994,7,0.6891957521438599
2023-02-04,1994,8,0.6990941762924194
2023-02-05,1994,9,0.20996353030204773
2023-02-06,1994,5,0.5720046758651733
2023-02-07,1994,8,0.46139979362487793
2023-02-08,1994,9,0.24453113973140717
2023-02-09,1994,9,0.25242167711257935
2023-02-10,1994,6,0.9864419102668762
2023-02-12,1994,5,0.4488869905471802
2023-02-13,1994,1,0.9561168551445007
2023-02-14,1994,5,0.3441653251647949
2023-02-15,1994,1,0.689076840877533
2023-02-16,1994,8,0.5546897649765015
2023-02-17,1994,8,0.5178648233413696
2023-02-18,1994,8,0.5179421305656433
2023-02-19,1994,8,0.5172590613365173
2023-02-20,1994,8,0.518485963344574
2023-02-21,1994,8,0.5354443788528442
2023-02-22,1994,8,0.48900625109672546
2023-02-25,1994,4,0.8042165040969849
2023-02-26,1994,2,0.8081923723220825
2023-03-02,1994,4,0.6455582976341248
2023-03-03,1994,3,0.7479381561279297
2023-03-04,1994,3,0.7855805158615112
2023-03-05,1994,9,0.17721208930015564
2023-03-06,1994,4,0.7584123015403748
2023-03-07,1994,4,0.446750283241272
2023-03-09,1994,7,0.752336859703064
2023-03-10,1994,3,0.6033395528793335
2023-03-11,1994,0,0.8924601674079895
2023-03-13,1994,8,0.8735811114311218
2023-03-14,1994,3,0.6397116780281067
2023-03-15,1994,3,0.6601481437683105
2023-03-16,1994,8,0.811789870262146
2023-03-17,1994,1,0.7751869559288025
2023-03-18,1994,3,0.5982839465141296
2023-03-19,1994,2,0.9697480201721191
2023-03-20,1994,7,0.651222288608551
2023-03-21,1994,1,0.8771889805793762
2023-03-22,1994,6,0.8005397915840149
2023-03-23,1994,6,0.7904948592185974
2023-03-25,1994,4,0.5973942875862122
2023-03-26,1994,1,0.7439041137695312
2023-03-27,1994,4,0.6761118173599243
2023-03-28,1994,2,0.6384334564208984
2023-03-29,1994,7,0.7536553740501404
2023-03-30,1994,6,0.790849506855011
2023-03-31,1994,8,0.6595101356506348
2023-04-01,1994,0,0.742215096950531
2023-04-02,1994,0,0.7074952721595764
2023-04-04,1994,2,0.7143189907073975
2023-04-05,1994,2,0.7255776524543762
2023-04-06,1994,1,0.9329054951667786
2023-04-07,1994,2,0.6754052042961121
2023-04-08,1994,0,0.9668217897415161
2023-04-09,1994,5,0.42164334654808044
2023-04-10,1994,8,0.5148323178291321
2023-04-11,1994,3,0.6023798584938049
2023-04-13,1994,6,0.630940318107605
2023-04-14,1994,2,0.646365761756897
2023-04-15,1994,1,0.8078015446662903
2023-04-16,1994,9,0.5931127667427063
2023-04-17,1994,7,0.696423351764679
2023-04-18,1994,2,0.6335803866386414
2023-04-19,1994,2,0.5663787126541138
2023-04-20,1994,1,0.8723926544189453
2023-04-21,1994,2,0.9484084248542786
2023-04-22,1994,6,1.048978567123413
2023-04-23,1994,5,0.3176048994064331
2023-04-24,1994,2,0.8484585881233215
2023-04-25,1994,2,0.8735381364822388
2023-04-26,1994,5,0.729046106338501
2023-04-29,1994,1,0.7181488275527954
2023-04-30,1994,8,0.5441005825996399
2023-05-01,1994,4,0.6737803816795349
2023-05-02,1994,2,0.9233662486076355
2023-05-03,1994,2,0.7171979546546936
2023-05-04,1994,3,0.5650769472122192
2023-05-05,1994,3,0.5952970385551453
2023-05-06,1994,3,0.9217712879180908
2023-05-08,1994,3,0.5862722396850586
2023-05-09,1994,2,0.6448291540145874
2023-05-10,1994,1,0.9328929781913757
2023-05-11,1994,7,0.7198584675788879
2023-05-12,1994,4,0.6351644992828369
2023-05-13,1994,1,0.9822452664375305
2023-05-14,1994,5,0.9233997464179993
2023-05-15,1994,3,0.7309640049934387
2023-05-16,1994,5,0.4249369502067566
2023-05-17,1994,0,0.8223167061805725
2023-05-18,1994,2,0.6628453731536865
2023-05-19,1994,8,0.43553006649017334
2023-05-20,1994,0,1.0457432270050049
2023-05-21,1994,0,0.9242551922798157
2023-05-22,1994,3,0.6620208621025085
2023-05-23,1994,8,0.8750896453857422
2023-05-24,1994,3,0.6050155758857727
2023-05-25,1994,8,0.5645871758460999
2023-05-29,1994,5,0.7729180455207825
2023-05-30,1994,8,0.5889801979064941
2023-05-31,1994,8,0.5704408884048462
2023-06-01,1994,5,0.7194374203681946
2023-06-02,1994,9,0.16476532816886902
2023-06-03,1994,6,0.7831802368164062
2023-06-05,1994,4,0.8249133825302124
2023-06-06,1994,9,0.21410970389842987
2023-06-07,1994,5,0.4241234362125397
2023-06-08,1994,2,0.6714361310005188
2023-06-09,1994,5,0.5111371278762817
2023-06-10,1994,4,0.5221982002258301
2023-06-11,1994,8,0.4310353100299835
2023-06-12,1994,7,0.7866104245185852
2023-06-13,1994,3,0.747072160243988
2023-06-16,1994,0,0.8572516441345215
2023-06-17,1994,2,0.6336655020713806
2023-06-19,1994,5,0.34323355555534363
2023-06-20,1994,0,0.7668936252593994
2023-06-21,1994,6,0.9179088473320007
2023-06-22,1994,1,0.8882759809494019
2023-06-23,1994,6,0.7734798192977905
2023-06-24,1994,4,0.7534427046775818
2023-06-25,1994,4,1.0636481046676636
2023-06-26,1994,2,0.746742844581604
2023-06-27,1994,0,0.8379744291305542
2023-06-28,1994,6,0.6177695393562317
2023-06-29,1994,1,0.9260759353637695
2023-06-30,1994,1,0.7955974340438843
2023-07-03,1994,0,0.792885959148407
2023-07-05,1994,4,0.6315653920173645
2023-07-06,1994,6,0.8464999198913574
2023-07-07,1994,1,0.8048793077468872
2023-07-08,1994,6,0.7560518980026245
2023-07-09,1994,3,0.6350489258766174
2023-07-10,1994,6,0.9983015656471252
2023-07-13,1994,3,0.7384588718414307
2023-07-14,1994,9,0.15309037268161774
2023-07-15,1994,5,0.975443959236145
2023-07-16,1994,7,0.6584078669548035
2023-07-17,1994,4,0.6534698605537415
