date,VehicleId,total_distance_miles,total_distance_km,average_speed,point_count,moving_point_count,kept_segments,dropped_segments
2023-01-01,155,26.58,42.777,27.203,1177,977,1176,0
2023-01-01,689,37.747,60.748,47.926,802,738,801,0
2023-01-01,1007,15.511,24.963,32.804,265,230,264,0
2023-01-01,1181,13.349,21.482,29.853,279,197,278,0
2023-01-01,1206,0.0,0.0,0.0,1,0,0,0
2023-01-01,1236,17.105,27.528,21.9,539,361,538,0
2023-01-01,1241,0.0,0.0,0.0,2,0,1,0
2023-01-01,1247,175.405,282.287,20.917,5264,3787,5263,0
2023-01-01,1261,0.016,0.026,0.0,5,0,4,0
2023-01-01,1311,169.793,273.256,20.172,6161,4825,6160,0
2023-01-01,1312,101.217,162.894,20.174,3827,2813,3826,0
2023-01-01,1350,18.832,30.307,28.398,480,378,479,0
2023-01-01,1359,0.31,0.499,1.483,147,23,146,0
2023-01-01,1363,34.354,55.287,16.347,922,615,921,0
2023-01-01,1421,119.605,192.486,22.198,3566,2240,3565,0
2023-01-01,1422,62.447,100.499,16.102,3505,2334,3504,0
2023-01-01,1423,172.335,277.347,18.864,5755,4353,5754,0
2023-01-01,1424,168.538,271.236,21.565,5032,3570,5031,0
2023-01-01,1506,30.319,48.793,31.925,467,365,466,0
2023-01-01,1571,112.791,181.519,23.719,2843,1491,2842,0
2023-01-01,1573,235.118,378.385,24.248,7072,5411,7071,0
2023-01-01,1574,66.013,106.238,17.412,2609,1619,2608,0
2023-01-01,1575,263.415,423.925,23.865,7182,5438,7181,0
2023-01-01,1576,73.64,118.512,29.118,1484,1118,1483,0
2023-01-01,1577,34.192,55.027,20.737,1088,586,1087,0
2023-01-01,1578,230.011,370.166,23.293,7767,6289,7766,0
2023-01-01,1579,141.497,227.717,17.079,4912,3453,4911,0
2023-01-01,1617,14.13,22.74,26.746,339,246,338,0
2023-01-01,1623,70.038,112.715,34.254,901,717,900,0
2023-01-01,1667,117.406,188.947,35.937,1453,844,1452,0
2023-01-01,1668,117.086,188.432,36.652,1422,903,1421,0
2023-01-01,1686,0.0,0.0,0.0,1,0,0,0
2023-01-01,1687,47.247,76.037,25.213,889,655,888,0
2023-01-01,1688,191.403,308.034,53.618,1180,973,1179,0
2023-01-01,1785,35.207,56.66,15.639,1375,804,1374,0
2023-01-01,1786,29.742,47.865,22.593,977,635,976,0
2023-01-01,1787,138.55,222.974,40.998,1263,943,1262,0
2023-01-01,1866,0.0,0.0,0.0,1,0,0,0
2023-01-01,1935,0.0,0.0,0.0,2,0,1,0
2023-01-01,1988,63.639,102.418,18.501,2306,1240,2305,0
2023-01-01,1993,134.663,216.718,27.579,3422,2831,3421,0
2023-01-01,1994,10.058,16.187,12.771,401,259,400,0
2023-01-01,2191,209.866,337.747,25.609,6367,4961,6366,0
2023-01-01,2201,87.956,141.551,26.358,2024,1672,2023,0
